Scholarship_Name,Tổ chức cấp học bổng,Scholarship_Type,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Required documents,Application process,Liên kết học bổng (URL),Notes ,Annual (Yes/No/Unknown),% of students in the whole school receive financial aid,Average school-wide support level,,,
Clark University Global Scholars Program,Clark University,university,"~USD 15,000–25,000 per year; may include additional need-based support","Up to 4 years; primary support is tuition, with need-based assistance available",Separate application/supplementary essay with admission documents,11–1,—,January 15 (according to Regular Decision milestone),Not published yet,yes,,First-year international students,—,no,All bachelor's majors,High School (or equivalent) + passed/accepted to Clark,High School (or equivalent) + passed/accepted to Clark,Not stated,Outstanding academic and leadership achievements,Extracurricular/Local Activities,"Strong academics, community leadership",Maintain annual learning standards,Application form + scholarship essay (if required),Application form + scholarship essay (if required),Submit application for admission; be considered/invited to submit scholarship essay,https://www.clarku.edu/financial-aid/prospective-students/international-students/,"The school's website states that 99% of first-year students receive aid; the average package is ~USD 49,545",yes,99% (first year),"~USD 49,545",,,
American University Emerging Global Leader Scholarship,American University,university,"Full tuition and accommodation (2 awards); up to 8 partial scholarships up to USD 40,000 per year","4 years if academic performance is maintained; insurance, books, airfare not included (~USD 4,000/year self-funded)",Separate AU EGLS application (after submitting the Common App),9–1,—,January 15 (EGLS deadline & AU profile),~2 full + up to ~8 partial,yes,,International students who have not yet attended university,Not a US citizen/PR,no,All majors at AU,High school (or equivalent) + submit/pass AU (priority given to leadership & finance),High school (or equivalent) + submit/pass AU (priority given to leadership & finance),Not stated,"Strong academic record, English according to AU standards","Leadership, volunteering, and community service activities","Leadership, social engagement, commitment to contribute to the homeland",Renewable annually if academic requirements are met,Common App + EGLS form + essay + minimum financial proof,Common App + EGLS form + essay + minimum financial proof,Step 1: Submit AU application; Step 2: Submit EGLS form in portal; Interview if finalist,https://www.american.edu/admissions/international/au-egls-apply.cfm,The financial page states that ~80% of new students receive aid.,yes,~80% (incoming),Not publicly available (see CDS/DFR),,,
Lester B. Pearson International Scholarship,University of Toronto,university,"Full scholarship: tuition, books, fees, and housing for 4 years","~37 places/year; only applicable to U of T, first-entry undergraduate",Nomination by High School + U of T application,9–11,—,Annually (before December 1–1/2 depending on the milestone),~37,yes,,International students grade 12/current high school,—,no,All bachelor's degrees (first-entry),Senior year of high school + high school nomination + U of Toronto admission,Senior year of high school + high school nomination + U of Toronto admission,Not stated,"Outstanding achievement & creativity, leadership in school",Community activities/contributions,"Academic excellence, creativity, leadership",Maintain academic progress to meet award requirements,U of T Admission + High School Nomination + Pearson Application,U of T Admission + High School Nomination + Pearson Application,"Nominated, receive email instructions, submit on the system; selected & notified",https://future.utoronto.ca/pearson-scholarships,First-entry only; extremely competitive,yes,Not published yet,Not published yet,,,
University of Toronto Scholars Program,University of Toronto,university,"CAD 10,000 (one-time grant)",~900 awards/year; first year only; no renewal,Automatically consider average score upon admission,10–3,—,By U of T admission threshold (no separate application),~900,yes,,Freshman (never studied after high school),—,no,All undergraduate majors (direct-entry),High school (or equivalent) + passed U of Toronto,High school (or equivalent) + passed U of Toronto,Not stated,Based on average score upon admission,—,High academic achievement,Non-renewable,U of T Admissions,U of T Admissions,Automatically considered upon admission; money deducted from fee account after registration,https://future.utoronto.ca/university-of-toronto-scholars-program,—,yes,Not published yet,Not published yet,,,
ANU Tuckwell Scholarship Program,Australian National University,university,"~AUD 26,750 per year for living expenses plus additional support (travel, books, housing, exchange, mentorship)",Maximize your bachelor's program time; comprehensive support package,Apply through ANU + select Tuckwell; multi-round process,3–4,02/03 (eg 2026),April 13 (e.g. 2026),Maximum ~25/year,no,,"Australian citizen/PR/humanitarian visa, school-leaver only",Australian Citizen/PR/Humanitarian Visa,no,All ANU undergraduate courses,High school (Australia) + Australian citizen/PR (not for international students),High school (Australia) + Australian citizen/PR (not for international students),Not stated,"Excellent academics, leadership, community service",Outstanding leadership/social activities,"Intelligence, leadership, character, community commitment",Subject to award conditions; maintain progress & conduct,ANU application + Tuckwell form + references + interview,ANU application + Tuckwell form + references + interview,3 stages: application → shortlist → interview/assessment; results announced on schedule,https://tuckwell.anu.edu.au/apply/eligibility,Not open to purely international students,yes,Not published yet,Not published yet,,,
NUS Global Merit Scholarship,National University of Singapore,university,"Tuition fully subsidized (after Tuition Grant) plus living allowance S$6,000 per year, computer grant S$2,000, housing allowance S$5,100–6,850 per year, and SEP/NOC grant S$5,000–7,500 per semester",Bond-free; priority accommodation; guaranteed 1 exchange semester; applicable during standard study period,Submit 1 scholarship application after submitting NUS admission application,1–3,—,Interview from end 3 to 5; result announcement end 5,Not published yet,Unknown,,Singapore Citizens only (according to official website),Singaporean citizen,Yes (except for some industries),All majors except Dentistry/Medicine/Music (limited quota),High school (or equivalent) + passed NUS (excellent),High school (or equivalent) + passed NUS (excellent),Not stated,Top academic; scholarship interview,—,"Excellent academics, strong CCA, leadership",Maintain GPA ≥4.0/5.0 or top 35% (Law) each semester,Application form + 1 scholarship application + 1 recommendation letter,Application form + 1 scholarship application + 1 recommendation letter,Apply online; shortlist interview; results end of May,https://nus.edu.sg/oam/scholarships/scholarships-for-freshmen-singapore-citizens/nus-global-merit-scholarship,Not for international students,yes,Not published yet,Not published yet,,,
NUS ASEAN Undergraduate Scholarship,National University of Singapore,university,"100% subsidized tuition (after Tuition Grant) plus S$5,800 per year living allowance, S$1,750 one-time computer grant, and S$3,000 per year housing allowance",During the entire standard study period; Tuition Grant required (International students are bound to work at a company in Singapore for 3 years),Automatically review admission applications; interview if shortlisted,1–7,—,Interviews 1–7; notification between 7,Not published yet,yes,,ASEAN citizens (except Singapore),"Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Thailand, Vietnam",yes,All industries (some industries have quota limits),High school (or equivalent) + NUS pass + ASEAN nationality (not SG),High school (or equivalent) + NUS pass + ASEAN nationality (not SG),Not stated,Excellent high school results,Activities/CCA,"Good academics, leadership, good CCA",Renewal each term if GPA ≥3.50/5.0 & good conduct,No separate application required; considered from admission records,No separate application required; considered from admission records,Invited for interview; results due mid-July,https://www.nus.edu.sg/oam/scholarships/scholarships-for-freshmen-%28international-students%29/asean-undergraduate-scholarship,Subject to Tuition Grant,yes,Not published yet,Not published yet,,,
University of Sheffield International Undergraduate Scholarship,University of Sheffield,university,"£2,500 per year (up to £10,000 for a 4-year program)",Automatically deducted from tuition if eligible; requires ≥60% average to continue each year,Automatic review (no application required),2–9,—,According to September admission milestone,Not published yet,yes,,International students pay their own tuition,—,Yes (some quota programs do not apply),All undergraduate majors (with some rare exceptions),High school (or equivalent) + University of Sheffield,High school (or equivalent) + University of Sheffield,Not stated,Meet the academic requirements of the offer,—,Maintain an average score of ≥60% each year,No separate profile required,"Automatically applied when eligible, directly deducted from tuition","Automatically applied when eligible, directly deducted from tuition",https://sheffield.ac.uk/international/fees-and-funding/scholarships/undergraduate/international-undergraduate-scholarship,Giá trị cố định theo khoá 2026,yes,Not published yet,Not published yet, ,,,
Edinburgh Global Undergraduate Mathematics Scholarships,University of Edinburgh,university,"£5,000 per year for the entire duration of study",Extension if “Satisfactory Progress”; due 31/03/2025; notification 24/04/2025,Separate application on the scholarship system (MyEd/EUCLID),1–3,—,March 31 (usually closed at the end of March each year),“A number of scholarships” (no fixed number announced),yes,,International student/EEA fee status; apply to UCAS for Mathematics,—,yes,School of Mathematics,High school (or equivalent) + passed Mathematics at Edinburgh,High school (or equivalent) + passed Mathematics at Edinburgh,Not stated,By academic achievement (merit),—,Academic Excellence in Mathematics,Maintain “Satisfactory Progress” annually,Online application + MyEd account + (possibly) supporting documents,Online application + MyEd account + (possibly) supporting documents,Apply UCAS → activate MyEd → submit scholarship form → wait for results,https://maths.ed.ac.uk/studying-here/undergraduate-study/funding/global-maths-scholarships,"Official article published April 22, 2025",yes,Not published yet,Not published yet,,,
ETH Zurich Solidarity Fund (Need-Based),ETH Zurich,fund / organization,Additional subsidiary financial support depending on circumstances,For international students (B/M) at ETH Zurich/University of Zurich; required to have passed the First-Year Exam (Bach) and progress ≥20 ECTS/semester or 40 ECTS/2 semesters,Individual application via eSTIP,8–6,After term 1 (or as needed),Internally cyclical; rolling/batch,Not published yet,yes,,Foreign student permit B; studying B/M for the first time,Not applicable for some groups (e.g. international Masters with non-Swiss/ETH Bachelor's degree — according to published criteria),no,All industries (B/M),High school (or equivalent) + ETH pass (need-based; ETH rarely recruits international UGs),High school (or equivalent) + ETH pass (need-based; ETH rarely recruits international UGs),Not stated,Standard Learning Progress (ECTS),—,"Financial difficulties, good academic progress",Renewal/disbursement by period if meeting criteria,eSTIP application + financial documents + proof of progress,eSTIP application + financial documents + proof of progress,"Apply online; based on need and progress; supplemental benefits, not full coverage",https://ethz.ch/students/en/studies/financial/solidarity-fund.html,Independent funding supported at ETH & UZH; with instruction leaflet,yes,Not published yet,Not published yet,,,
