Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),% SV toàn trường nhận hỗ trợ tài chính,Mức hỗ trợ trung bình toàn trường,,,
Clark University Global Scholars Program,Clark University,Trường,~USD 15.000–25.000/năm; có thể có hỗ trợ need-based bổ sung,"Tối đa 4 năm; hỗ trợ chính là học phí, có thể kèm hỗ trợ dựa trên nhu cầu",Đơn riêng/essay bổ sung cùng hồ sơ nhập học,11–1,—,15/01 (theo mốc Regular Decision),Chưa công bố,Có,Học sinh quốc tế năm nhất (first-year),—,Không,Tất cả ngành cử nhân,THPT (hoặc tương đương) + đỗ/được nhận vào Clark,Không nêu,Thành tích học thuật và lãnh đạo nổi bật,Hoạt động ngoại khóa/địa phương,"Học thuật mạnh, lãnh đạo cộng đồng",Duy trì chuẩn học tập hằng năm,Đơn nhập học + essay học bổng (nếu yêu cầu),Nộp hồ sơ nhập học; được xét/được mời nộp essay học bổng,https://www.clarku.edu/financial-aid/prospective-students/international-students/,Trang trường nêu 99% SV năm nhất nhận hỗ trợ; mức gói trung bình ~USD 49.545,Có,99% (năm nhất),~USD 49.545,,,
American University Emerging Global Leader Scholarship,American University,Trường,Full học phí + ăn ở (2 suất); thêm đến ~8 suất partial tối đa USD 40.000/năm,"4 năm nếu duy trì học lực; không bao gồm bảo hiểm, sách, vé máy bay (~USD 4.000/năm tự chi)",Đơn riêng AU EGLS (sau khi nộp Common App),9–1,—,15/01 (hạn EGLS & hồ sơ AU),~2 full + đến ~8 partial,Có,Học sinh quốc tế chưa học ĐH,Không phải công dân/PR Hoa Kỳ,Không,Tất cả ngành tại AU,THPT (hoặc tương đương) + nộp/đỗ AU (ưu tiên lãnh đạo & tài chính),Không nêu,"Hồ sơ học thuật mạnh, tiếng Anh theo chuẩn AU","Hoạt động lãnh đạo, tình nguyện, phục vụ cộng đồng","Lãnh đạo, dấn thân xã hội, cam kết đóng góp cho quê hương",Gia hạn hằng năm nếu đạt yêu cầu học thuật,Common App + form EGLS + essay + minh chứng tài chính tối thiểu,Bước 1 nộp hồ sơ AU; Bước 2 nộp form EGLS trong cổng; phỏng vấn nếu vào chung kết,https://www.american.edu/admissions/international/au-egls-apply.cfm,Trang tài chính nêu ~80% tân SV nhận aid,Có,~80% (incoming),Chưa công bố công khai (xem CDS/DFR),,,
Lester B. Pearson International Scholarship,University of Toronto,Trường,"Toàn phần: học phí, sách, phí, và nhà ở 4 năm","~37 suất/năm; chỉ áp dụng U of T, first-entry undergraduate",Đề cử bởi trường THPT + ứng tuyển U of T,9–11,—,Theo chu kỳ mỗi năm (trước 1/12–1/2 tuỳ mốc),~37,Có,Học sinh quốc tế lớp 12/đang học THPT,—,Không,Tất cả ngành cử nhân (first-entry),THPT năm cuối + đề cử trường THPT + đỗ U of Toronto,Không nêu,"Thành tích xuất sắc & sáng tạo, lãnh đạo ở trường",Hoạt động/đóng góp cộng đồng,"Học thuật xuất sắc, sáng tạo, lãnh đạo",Duy trì tiến bộ học tập thoả điều kiện giải thưởng,Đơn nhập học U of T + được trường THPT đề cử + nộp hồ sơ Pearson,"Được đề cử, nhận email hướng dẫn, nộp trên hệ thống; xét chọn & thông báo",https://future.utoronto.ca/pearson-scholarships,Chỉ dành cho first-entry; cực cạnh tranh,Có,Chưa công bố,Chưa công bố,,,
University of Toronto Scholars Program,University of Toronto,Trường,CAD 10.000 (một lần),~900 giải/năm; chỉ năm nhất; không gia hạn,Tự động xét theo điểm trung bình khi nhập học,10–3,—,Theo mốc nhập học U of T (không có đơn riêng),~900,Có,Học sinh năm nhất (chưa từng học sau THPT),—,Không,Tất cả ngành cử nhân (direct-entry),THPT (hoặc tương đương) + đỗ U of Toronto,Không nêu,Xét theo điểm trung bình khi nhập học,—,Thành tích học thuật cao,Không gia hạn (non-renewable),Hồ sơ nhập học U of T,Tự động xét khi nhập học; tiền trừ vào tài khoản phí sau khi đăng ký,https://future.utoronto.ca/university-of-toronto-scholars-program,—,Có,Chưa công bố,Chưa công bố,,,
ANU Tuckwell Scholarship Program,Australian National University,Trường,"~AUD 26.750/năm sinh hoạt + các khoản hỗ trợ (di chuyển, sách, ở, trao đổi, cố vấn)",Tối đa thời gian chương trình cử nhân; gói hỗ trợ toàn diện,Đơn qua ANU + chọn Tuckwell; quy trình nhiều vòng,3–4,02/03 (ví dụ 2026),13/04 (ví dụ 2026),Tối đa ~25/năm,Không,"Chỉ công dân/PR/humanitarian visa Úc, school-leaver",Công dân/PR/humanitarian visa Úc,Không,Tất cả ngành cử nhân ANU,THPT (Úc) + công dân/PR Úc (không dành SVQT),Không nêu,"Rất xuất sắc học thuật, lãnh đạo, vì cộng đồng",Hoạt động lãnh đạo/xã hội nổi bật,"Trí tuệ, lãnh đạo, nhân cách, cam kết cộng đồng",Theo điều kiện giải thưởng; duy trì tiến độ & hạnh kiểm,ANU application + form Tuckwell + tham chiếu + phỏng vấn,3 giai đoạn: nộp hồ sơ → shortlist → phỏng vấn/đánh giá; kết quả công bố theo lịch,https://tuckwell.anu.edu.au/apply/eligibility,Không mở cho SV quốc tế thuần tuý,Có,Chưa công bố,Chưa công bố,,,
NUS Global Merit Scholarship,National University of Singapore,Trường,Miễn học phí đã trợ giá (sau Tuition Grant) + phụ cấp S$6.000/năm + trợ cấp máy tính S$2.000 + trợ cấp ở S$5.100–6.850/năm + SEP/NOC S$5.000–7.500/sem,Bond-free; ưu tiên chỗ ở; bảo đảm 1 học kỳ trao đổi; áp dụng trong thời gian học chuẩn,Nộp 1 hồ sơ học bổng sau khi nộp hồ sơ nhập học NUS,1–3,—,Phỏng vấn từ cuối 3 đến 5; thông báo kết quả cuối 5,Chưa công bố,Chưa rõ,Chỉ Singapore Citizens (theo trang chính thức),Công dân Singapore,Có (trừ một số ngành),Tất cả ngành trừ Dentistry/Medicine/Music (hạn chế chỉ tiêu) ,THPT (hoặc tương đương) + đỗ NUS (xuất sắc),Không nêu,Top học thuật; phỏng vấn học bổng,—,"Học thuật xuất sắc, CCA mạnh, lãnh đạo",Duy trì GPA ≥4.0/5.0 hoặc top 35% (Law) mỗi kỳ,Đơn nhập học + 1 hồ sơ học bổng + 1 thư giới thiệu,Nộp online; shortlist phỏng vấn; kết quả cuối tháng 5,https://nus.edu.sg/oam/scholarships/scholarships-for-freshmen-singapore-citizens/nus-global-merit-scholarship,Không dành cho SV quốc tế,Có,Chưa công bố,Chưa công bố,,,
NUS ASEAN Undergraduate Scholarship,National University of Singapore,Trường,100% học phí đã trợ giá (sau Tuition Grant) + S$5.800/năm sinh hoạt + S$1.750 máy tính (một lần) + S$3.000/năm chỗ ở,Trong toàn bộ thời gian học chuẩn; yêu cầu nhận Tuition Grant (SV quốc tế bị ràng buộc làm việc tại DN ở Singapore 3 năm),Tự động xét qua hồ sơ nhập học; phỏng vấn nếu shortlist,1–7,—,Phỏng vấn từ 1–7; thông báo giữa 7,Chưa công bố,Có,Công dân ASEAN (trừ Singapore),"Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Thailand, Vietnam",Có,Tất cả ngành (một số ngành giới hạn chỉ tiêu),THPT (hoặc tương đương) + đỗ NUS + quốc tịch ASEAN (không phải SG),Không nêu,Kết quả THPT xuất sắc,Hoạt động/CCA,"Học thuật tốt, lãnh đạo, CCA tốt",Gia hạn mỗi kỳ nếu GPA ≥3.50/5.0 & hạnh kiểm tốt,Không yêu cầu đơn riêng; được xét từ hồ sơ nhập học,Được mời phỏng vấn; kết quả đến giữa 7,https://www.nus.edu.sg/oam/scholarships/scholarships-for-freshmen-%28international-students%29/asean-undergraduate-scholarship,Có ràng buộc theo Tuition Grant,Có,Chưa công bố,Chưa công bố,,,
University of Sheffield International Undergraduate Scholarship,University of Sheffield,Trường,£2.500/năm (tối đa £10.000 cho chương trình 4 năm),Tự động trừ vào học phí nếu đủ điều kiện; yêu cầu đạt trung bình ≥60% để tiếp tục mỗi năm,Tự động xét (không cần đơn),2–9,—,Theo mốc nhập học tháng 9,Chưa công bố,Có,Sinh viên quốc tế tự chi trả học phí,—,Có (không áp dụng vài chương trình có quota),Tất cả ngành cử nhân (trừ một số ngoại lệ hiếm),THPT (hoặc tương đương) + đỗ University of Sheffield,Không nêu,Đạt điều kiện học thuật của offer,—,Duy trì điểm trung bình ≥60% mỗi năm,Không cần hồ sơ riêng,"Tự động áp dụng khi đủ điều kiện, trừ trực tiếp học phí",https://sheffield.ac.uk/international/fees-and-funding/scholarships/undergraduate/international-undergraduate-scholarship,Giá trị cố định theo khoá 2026,Có,Chưa công bố,Chưa công bố,,,,
Edinburgh Global Undergraduate Mathematics Scholarships,University of Edinburgh,Trường,£5.000/năm trong toàn bộ thời gian học,Gia hạn nếu “Satisfactory Progress”; hạn nộp 31/03/2025; thông báo 24/04/2025,Đơn riêng trên hệ thống học bổng (MyEd/EUCLID),1–3,—,31/03 (mỗi năm thường đóng cuối 3),“A number of scholarships” (không công bố số cố định),Có,Sinh viên quốc tế/EEA fee status; nộp UCAS cho chương trình Toán,—,Có,Chỉ ngành Toán (School of Mathematics),THPT (hoặc tương đương) + đỗ ngành Toán tại Edinburgh,Không nêu,Theo thành tích học thuật (merit),—,Học thuật xuất sắc trong Toán,Duy trì “Satisfactory Progress” hằng năm,Đơn online + tài khoản MyEd + (có thể) tài liệu bổ trợ,Nộp UCAS → kích hoạt MyEd → nộp form học bổng → chờ kết quả,https://maths.ed.ac.uk/studying-here/undergraduate-study/funding/global-maths-scholarships,Bài viết chính thức xuất bản 22/04/2025,Có,Chưa công bố,Chưa công bố,,,
ETH Zurich Solidarity Fund (Need-Based),ETH Zurich,Quỹ / Tổ chức,"Hỗ trợ tài chính phụ trợ (subsidiary), số tiền tuỳ hoàn cảnh",Dành cho SV nước ngoài (B/M) tại ETH Zurich/ĐH Zurich; yêu cầu đã qua First-Year Exam (Bach) và tiến độ ≥20 ECTS/kỳ hoặc 40 ECTS/2 kỳ,Đơn riêng qua eSTIP,8–6,Sau kỳ 1 (hoặc khi cần),Theo chu kỳ nội bộ; rolling/đợt,Chưa công bố,Có,SV nước ngoài permit B; đang học B/M lần đầu,Không áp dụng cho một số nhóm (ví dụ Master quốc tế với bằng Cử nhân không phải Thụy Sĩ/ETH — theo tiêu chí công bố),Không,Tất cả ngành (B/M),THPT (hoặc tương đương) + đỗ ETH (need-based; ETH ít tuyển UG quốc tế),Không nêu,Tiến độ học tập đạt chuẩn (ECTS),—,"Khó khăn tài chính, tiến độ học tập tốt",Gia hạn/giải ngân theo kỳ nếu đáp ứng tiêu chí,Đơn eSTIP + giấy tờ tài chính + minh chứng tiến độ,"Nộp online; xét theo nhu cầu và tiến độ; trợ cấp bổ sung, không trang trải toàn bộ",https://ethz.ch/students/en/studies/financial/solidarity-fund.html,Quỹ độc lập hỗ trợ tại ETH & UZH; có tờ rơi hướng dẫn,Có,Chưa công bố,Chưa công bố,,,
