Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),,,
Chinese Government Scholarship (CGS),China Scholarship Council (CSC),Chính phủ,Miễn/giảm học phí + ký túc + trợ cấp sinh hoạt hằng tháng + bảo hiểm,Nhiều diện (Bilateral/University/Provincial/Type A–B–C); nộp qua ĐSQ/Tổng LS (Type A) hoặc qua trường (Type B); có suất Master/PhD,Đơn trực tuyến + đề cử,12–4,Theo call,Theo call,Hàng chục nghìn,Có,Công dân các nước; theo chỉ tiêu từng diện,Danh sách trường tiếp nhận/diện A–B–C,Không,Tất cả ngành tại trường tiếp nhận,Cử nhân (hoặc tương đương),Không nêu,Đạt chuẩn tuyển sinh của trường,—,Học thuật; HSK (nếu học TQ),Theo quy định CSC,Form online + thư mời (tuỳ diện) + hồ sơ học thuật,Nộp qua ĐSQ (Type A) hoặc trường (Type B),https://www.csc.edu.cn/,Cổng chính thức CSC bằng tiếng Trung; xem hướng dẫn từng trường,Có,,,
Turkiye Burslari (Turkey Government Scholarship),Presidency for Turks Abroad (YTB),Chính phủ,Toàn phần: học phí + ký túc + bảo hiểm + vé máy bay; trợ cấp ~TL/tháng theo bậc,Bao gồm xếp chỗ vào đại học Thổ Nhĩ Kỳ; có diện Master/PhD,Cổng nộp trực tuyến YTB,1–2,Đầu 1,Cuối 2,Chưa công bố,Có,Công dân các nước đủ điều kiện (trừ công dân TR),Danh sách quốc gia,Không,Mọi ngành theo chỉ tiêu,Cử nhân (hoặc tương đương),Không nêu,Theo điều kiện chương trình/đại học,—,Học thuật & động lực,Gia hạn theo tiến độ,Đơn online + bảng điểm + hộ chiếu + bài luận + phỏng vấn,Nộp trên hệ thống YTB → xếp chỗ,https://www.turkiyeburslari.gov.tr/,Trang chính thức Turkiye Scholarships,Có,,,
Danish Government Scholarship (University of Southern Denmark – SDU),University of Southern Denmark (SDU),Chính phủ,Miễn toàn bộ học phí + trợ cấp sinh hoạt (mức do SDU công bố theo tháng),Chỉ cho **non-EU/EEA** nhập học một số Master tại campus Sønderborg,Đơn qua SDU (cùng/ sau khi nộp học),10–2,Theo call SDU,Theo call SDU,Giới hạn,Có,Non-EU/EEA vào Master ở Sønderborg,—,Có,Các chương trình Master chỉ định (Engineering…),Cử nhân (hoặc tương đương),Không nêu,Đạt offer đủ điều kiện SDU,—,Học thuật mạnh,Theo thư mời SDU,Hồ sơ nhập học + form học bổng,SDU xét và thông báo,https://www.sdu.dk/en/uddannelse/fees_and_funding/scholarships,Trang SDU – Danish Government Scholarship,Có,,,
Bangkok Government Scholarship (Chulalongkorn University – Graduate),Chulalongkorn University,Trường,Thường miễn học phí + trợ cấp sinh hoạt/nhà ở (mức theo thông báo từng khoa),Chương trình học bổng cao học cho SV quốc tế/ASEAN; **tên chính thức ở CU thường là Graduate Scholarships for ASEAN/Non-ASEAN**,Đơn trực tuyến theo thông báo CU/khoa,2–10,Theo call CU,Theo call CU,Chưa công bố,Có,SV quốc tế/ASEAN,—,Không,Các chương trình Master được CU chỉ định,Cử nhân (hoặc tương đương),Không nêu,Theo chuẩn tuyển sinh CU,—,Học thuật & động lực,Theo thư mời,Đơn + bảng điểm + đề cương (nếu yêu cầu),Nộp qua khoa/cổng CU → xét,https://www.chula.ac.th/en/academics/admissions/scholarships/,Tên “Bangkok Government Scholarship” ít dùng chính thức; dùng học bổng CU,Có,,,
Government of Brunei Darussalam Scholarship,Brunei MFA,Chính phủ,Toàn phần: học phí + vé máy bay + trợ cấp BND/tháng + KTX + bảo hiểm,Có bậc Master tại các ĐH ở Brunei,Đơn trực tuyến (BDGS),1–2,Theo call,Theo call,Theo quota,Có,Công dân các nước đủ điều kiện (có VN),—,Không,Theo danh mục trường/ ngành,Cử nhân (hoặc tương đương),Không nêu,Theo yêu cầu trường tiếp nhận,—,Học thuật & ngoại ngữ,Theo thư mời,Đơn BDGS + hồ sơ,Portal MFA → xét,https://www.mfa.gov.bn/Pages/scholarship.aspx,Trang chính thức BDGS,Có,,,
Stipendium Hungaricum (Hungarian Government Scholarship),Tempus Public Foundation (Hungary),Chính phủ,Toàn phần: miễn học phí + trợ cấp sinh hoạt + KTX + bảo hiểm,Có bậc Master/PhD; nộp online + qua cơ quan đề cử,Cổng TPF + đối tác đề cử,11–1,Theo call,Theo call,>5.000 (toàn chương trình),Có,Công dân nước đối tác (có VN),Danh sách đối tác đề cử,Không,Theo Study Finder,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí nước cử gửi & trường,—,Học thuật & động lực,Gia hạn theo quy định,Portal + hồ sơ + đề cử,Online → sàng lọc → offer,https://stipendiumhungaricum.hu/apply/,Trang chính thức chương trình,Có,,,
Government of Ireland – International Education Scholarship (GOI-IES),Higher Education Authority (Ireland),Chính phủ,€10.000 + miễn toàn bộ học phí/năm (1 năm),Áp dụng **Master/PhD**; yêu cầu ngoài EU/EEA; cạnh tranh cao (~60 suất/năm),Đơn trực tuyến HEA,1–3,Theo call,Theo call,~60/năm,Có,Công dân ngoài EU/EEA,—,Không,Theo ngành tại HEI tiếp nhận,Cử nhân (yêu cầu thư mời/offer nhập học Master tại ĐH ở Ireland),Không nêu,Đạt offer/điều kiện HEI,—,Học thuật & động lực,Không gia hạn (1 năm),Đơn online + minh chứng,HEA xét & công bố,https://hea.ie/policy/internationalisation/goi-ies/,Chỉ 1 năm tài trợ,Có,,,
Italian Government Scholarship (MAECI),Italian Ministry of Foreign Affairs (MAECI),Chính phủ,Trợ cấp **€1000/tháng** + miễn/giảm một số lệ phí; bảo hiểm,**Không tài trợ Cử nhân tiêu chuẩn**; áp dụng **Master/PhD/AFAM/khóa ngôn ngữ**,Cổng “Study in Italy”,4–5,Theo call,~Giữa 5,Chưa công bố,Có,Công dân nước ngoài/Italy sống ở nước ngoài,—,Có giới hạn,Theo danh mục chương trình,Cử nhân (hoặc tương đương),Không nêu,Theo điều kiện trường,—,Học thuật & động lực,Theo thư mời,Đơn + hồ sơ trên cổng,MAECI xét theo call,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/borsestudio_stranieri/,Call chính thức mỗi năm,Có,,,
Tianjin Government Scholarship (Master),Tianjin Municipal Government (qua trường),Chính phủ,Miễn/giảm học phí (toàn/partial) + bảo hiểm; một số trường có trợ cấp,Nộp qua các đại học ở Thiên Tân (ví dụ Tianjin University),Đơn qua trường tiếp nhận,1–6,Theo call trường,Theo call trường,Chưa công bố,Có,SV quốc tế non-Chinese,—,Có,Theo danh mục trường ở Tianjin,Cử nhân (hoặc tương đương),Không nêu,Theo tiêu chí đại học,—,Học thuật,Theo thư mời,Đơn trường + form TGS,Theo trường,https://www.tju.edu.cn/english/Admission/Tuition_Scholarships/Scholarships/,Ví dụ trang Tianjin University (TGS),Có,,,
Master Mind Scholarship (Government of Flanders),Government of Flanders,Chính phủ,**€9.600/năm** + **miễn/giảm học phí** (mức theo HEI),HEI ở Flanders đề cử; áp dụng Master’s,Được **đề cử** bởi trường Flanders,12–2,Theo call,Theo call,~150/năm,Có,Ứng viên quốc tế theo học Master tại Flanders,—,Không,Theo ngành/HEI tiếp nhận,Cử nhân (hoặc tương đương),Không nêu,Xếp hạng hồ sơ top; tiếng Anh/điều kiện HEI,—,Học thuật xuất sắc,Theo thư mời,Được trường đề cử + nộp online,HEI đề cử → Gov xét,https://www.studyinflanders.be/scholarships/master-mind-scholarships,Trang chính thức Study in Flanders,Có,,,
