STT,Scholarship_Name,Scholarship_Type,Country
1,MEXT (Monbukagakusho) Scholarship,Chính phủ,Nhật Bản
2,Global Korea Scholarship (GKS),Chính phủ,Hàn Quốc
3,Chinese Government Scholarship (CSC),Chính phủ,Trung Quốc
4,Manaaki New Zealand Scholarships,Chính phủ,New Zealand
5,Australia Awards (Undergraduate component),Chính phủ,Úc
6,NL Scholarship (formerly Holland Scholarship),Chính phủ,Hà Lan
7,Deutschlandstipendium (Federal/Private),Chính phủ,Đức
8,Emerging Leaders in the Americas Program (ELAP),Chính phủ,Canada
9,Harvard University Financial Aid (Need-Blind),Trường,Hoa Kỳ
10,Yale University Financial Aid (Need-Blind),Trường,Hoa Kỳ
11,Brandeis University Wien International Scholarship Program,Trường,Hoa Kỳ
12,Clark University Global Scholars Program,Trường,Hoa Kỳ
13,American University Emerging Global Leader Scholarship,Trường,Hoa Kỳ
14,Lester B. Pearson International Scholarship,Trường,Canada
15,University of Toronto Scholars Program,Trường,Canada
16,ANU Tuckwell Scholarship Program,Trường,Úc
17,NUS Global Merit Scholarship,Trường,Singapore
18,NUS ASEAN Undergraduate Scholarship,Trường,Singapore
19,University of Sheffield International Undergraduate Scholarship,Trường,Vương Quốc Anh
20,Edinburgh Global Undergraduate Mathematics Scholarships,Trường,Vương Quốc Anh
21,ETH Zurich Solidary Fund (Need-Based),Trường,Thụy Sĩ
22,KU Leuven ASEAN Scholarship,Trường,Bỉ
23,Mastercard Foundation Scholars Program,Quỹ và Tổ chức,Nhiều Quốc gia
24,"Generation Google Scholarship (APAC, EMEA, NA)",Quỹ và Tổ chức,Nhiều Quốc gia
25,Shell Scholarship (Undergraduate),Quỹ và Tổ chức,Nhiều Quốc gia
26,Rotary District Grants (Potential Undergraduate Funding),Quỹ và Tổ chức,Nhiều Quốc gia
27,Heinrich Böll Scholarships (All Levels),Quỹ và Tổ chức,Đức
28,Benjamin A. Gilman International Scholarship Program (For US Citizens studying abroad),Chính phủ,Hoa Kỳ
29,Global Undergraduate Exchange Program (Global UGRAD),Chính phủ,Hoa Kỳ
30,Davis UWC Scholars Program,Quỹ/Tổ chức,Hoa Kỳ
31,Jardine Scholarship,Quỹ/Tổ chức,Anh
32,Türkiye Scholarships,Chính phủ,Thổ Nhĩ Kỳ
33,Cambridge Commonwealth Trust Scholarships,Quỹ/Tổ chức,Anh
34,Orange Tulip Scholarship,Chính phủ/Tổ chức,Hà Lan
35,Trustee Scholars Program – Boston University,Trường,Hoa Kỳ
36,International Outreach Award – University of Cincinnati,Trường,Hoa Kỳ
37,International Freshman Scholarships – University of Alabama,Trường,Hoa Kỳ
38,Stamps Scholarship,Quỹ/Tổ chức,Hoa Kỳ
39,Schulich Leader Scholarships,Quỹ/Tổ chức,Canada
40,UBC International Scholars Program – University of British Columbia,Trường,Canada
41,Melbourne International Undergraduate Scholarship – University of Melbourne,Trường,Úc
42,KAIST International Undergraduate Scholarship – KAIST,Trường,South Korea
43,HKUST Admissions Scholarships for International Students – HKUST,Trường,Hong Kong
44,Reach Oxford Scholarship – University of Oxford,Trường,Vương Quốc Anh
45,Vice-Chancellor’s International Scholarships Scheme – University of Sydney,Trường,Úc
46,International Scientia Coursework Scholarship – UNSW Sydney,Trường,Úc
47,International Student Excellence Scholarship – University of Auckland,Trường,New Zealand
48,NUS International Undergraduate Scholarship – National University of Singapore,Trường,Singapore
49,Undergraduate Global Excellence Scholarship – University of Warwick,Trường,Vương Quốc Anh
50,UQ International Excellence Scholarship – University of Queensland,Trường,Úc
51,Entrance Scholarships for International Students – The University of Hong Kong (HKU),Trường,Hong Kong
